Time [ms],PL [hPa],TL [C],PC [hPa],TC [C],PR [hPa],TR [C],EX [deg],EY [deg],EZ [deg],QW [-],QX [-],QY [-],QZ [-],MX [microT],MY [microT],MZ [microT],AX [m/s2],AY [m/s2],AZ [m/s2],RX [rad/s],RY [rad/s],RZ [rad/s],CSM,CSA,CSR,CSTOT
0,1415.8,26.75,1415.3,27.1,1417.7,27.04,113.38,-37.938,162.19,0.073059,0.78186,0.51379,-0.34558,28.25,-37.75,-113.25,-5.98,-3.02,-7.89,-0.025556,-0.0068056,-0.0044444,0,0,0,0
0.01,1411.2,26.75,1412.1,27.1,1415.2,27.04,113.38,-37.875,162.19,0.072754,0.78198,0.51392,-0.34521,28.25,-37.375,-113.25,-5.71,-1.97,-8.11,-0.0077778,-0.024167,-0.024444,0,0,0,0
0.02,1418.5,26.75,1415.8,27.1,1415.8,27.04,113.38,-37.938,162.19,0.07312,0.78192,0.51379,-0.34534,28.25,-37.375,-113.25,-5.45,-1.51,-7.64,-0.032222,0.015556,0.026667,0,0,0,0
0.03,1416,26.75,1414.3,27.1,1418.8,27.04,113.38,-38,162.19,0.073364,0.7818,0.51361,-0.34589,28.25,-37.375,-113.25,-6.01,-4.53,-6.97,0.024444,0.0325,0.033333,0,0,0,0
0.04,1413.8,26.75,1412.6,27.1,1416.6,27.04,113.38,-38.063,162.19,0.073975,0.78174,0.51331,-0.34631,28.25,-37.375,-113.25,-6.26,-2.89,-6.53,-0.03,0.034722,0.074444,0,0,0,0
0.05,1415.4,26.75,1412.9,27.1,1417.4,27.04,113.44,-38.188,162.25,0.074463,0.78168,0.51306,-0.34668,28.25,-37.375,-113.25,-6.28,-2.76,-7.33,-0.024444,0.12444,0.075556,0,0,0,0
0.06,1420.1,26.75,1417.5,27.1,1419.9,27.04,113.44,-38.188,162.25,0.074768,0.78168,0.51288,-0.34692,27.188,-37,-113.25,-6.15,-4.23,-7.87,-0.014444,0.077778,0.044444,0,0,0,0
0.07,1417.4,26.75,1423.8,27.1,1424.6,27.04,113.44,-38.25,162.31,0.074951,0.7818,0.51276,-0.3468,27.188,-37,-113.25,-6.16,-0.08,-8.25,-0.026667,0.04,0.048889,0,0,0,0
0.08,1420.3,26.75,1415.3,27.1,1421.2,27.04,113.44,-38.188,162.25,0.074646,0.78192,0.5127,-0.3468,27.188,-37,-113.25,-6.44,-0.57,-7.23,0.046667,0.0045833,0.0022222,0,0,0,0
0.09,1419,26.75,1415.5,27.1,1420,27.04,113.5,-38.125,162.31,0.074463,0.78204,0.5127,-0.34644,27.188,-37,-113.25,-6.3,-2.48,-6.7,0.0022222,0.0036806,0.0044444,0,0,0,0
0.1,1419,26.75,1419.4,27.1,1419.7,27.04,113.44,-38.063,162.25,0.073975,0.7821,0.51282,-0.34613,27.188,-37,-113.25,-5.71,-1.91,-6.62,0.04,-0.10778,-0.038889,0,0,0,0
0.11,1420.1,26.75,1417,27.1,1424.1,27.04,113.44,-38.063,162.25,0.073792,0.78217,0.51294,-0.34595,27.875,-37.375,-112.5,-5.71,-0.65,-7.24,0.0055556,-0.016667,-0.031111,0,0,0,0
0.12,1420.4,26.75,1419,27.1,1418.7,27.04,113.44,-38,162.25,0.073486,0.78217,0.51306,-0.34595,27.875,-37.375,-112.5,-5.64,-3.64,-6.81,0.031111,-0.015278,-0.03,0,0,0,0
0.13,1424,26.75,1423,27.1,1422.2,27.04,113.44,-38,162.25,0.073425,0.78223,0.51306,-0.34576,27.875,-37.375,-112.5,-6.29,-0.81,-7.51,-0.0022222,-0.024444,-0.01,0,0,0,0
0.14,1418.5,26.75,1419.7,27.1,1423.3,27.04,113.44,-38,162.25,0.073303,0.78223,0.513,-0.34576,27.875,-37.375,-112.5,-6.32,-3.7,-6.78,0.022222,-0.022222,-0.01,0,0,0,0
0.15,1423.1,26.75,1423.8,27.1,1425.9,27.04,113.44,-38.063,162.19,0.073364,0.7821,0.51294,-0.34613,27.875,-37.375,-112.5,-5.9,-3.97,-6.81,0.033333,-0.0012326,-0.0011111,0,0,0,0
0.16,1423.1,26.75,1422.5,27.1,1423.3,27.04,113.44,-38.125,162.19,0.073792,0.78198,0.5127,-0.34668,27.563,-37,-111.75,-5.72,-2.74,-6.67,0.012222,0.038333,0.043333,0,0,0,0
0.17,1426.7,26.75,1427.3,27.1,1424.8,27.04,113.5,-38.188,162.13,0.074036,0.7818,0.51245,-0.34735,27.563,-37,-111.75,-6.18,-2.63,-6.98,0.048889,0.038056,0.033333,0,0,0,0
0.18,1425.3,26.75,1426.3,27.1,1426.6,27.04,113.5,-38.25,162.19,0.07428,0.78186,0.51221,-0.34735,27.563,-37,-111.75,-6.5,-1.07,-7.34,0.0011111,0.065556,0.057778,0,0,0,0
0.19,1419.4,26.75,1419,27.1,1424.5,27.04,113.5,-38.25,162.19,0.074158,0.78192,0.51221,-0.34747,27.563,-37,-111.75,-6.28,-3.13,-6.96,0.013333,-0.00055556,-0.0011111,0,0,0,0
0.2,1427.3,26.75,1426.9,27.1,1425.7,27.04,113.5,-38.188,162.19,0.073914,0.7821,0.51227,-0.34705,27.563,-37,-111.75,-6.17,-1.21,-7.39,-0.013333,0.0072917,0.0055556,0,0,0,0
0.21,1426.2,26.75,1427.3,27.1,1427.1,27.04,113.5,-38.125,162.19,0.073608,0.78229,0.51233,-0.34656,27.875,-37.375,-113.25,-6.07,-2.71,-7,0.0033333,-0.030278,-0.013333,0,0,0,0
0.22,1422.5,26.75,1425.9,27.1,1427.5,27.04,113.5,-38.063,162.19,0.073486,0.78241,0.51239,-0.34656,27.875,-37.375,-113.25,-6.04,0.17,-7.47,-0.014444,-0.0011285,-0.0011111,0,0,0,0
0.23,1426.3,26.75,1427.7,27.1,1428.5,27.04,113.5,-38.063,162.19,0.073303,0.78247,0.51239,-0.34625,27.875,-37.375,-113.25,-6.15,-3.4,-7.28,0.0077778,-0.015,-0.018889,0,0,0,0
0.24,1427.5,26.75,1428.5,27.1,1430.7,27.04,113.5,-38,162.25,0.073181,0.78253,0.51251,-0.34589,27.875,-37.375,-113.25,-5.98,-1.77,-7.97,-0.01,-0.0027083,-0.0077778,0,0,0,0
0.25,1428.2,26.75,1428.5,27.1,1430.5,27.04,113.5,-38.063,162.19,0.073181,0.78247,0.51245,-0.34613,27.875,-37.375,-113.25,-5.77,-3.29,-7.48,0.027778,-0.0026389,-0.0055556,0,0,0,0
0.26,1426.6,26.75,1424.7,27.1,1427.9,27.04,113.5,-38.063,162.19,0.073181,0.78235,0.51233,-0.34656,27.188,-37,-113,-6.41,-1.52,-7.3,0.05,0.0051389,0.0055556,0,0,0,0
0.27,1433.3,26.75,1434.3,27.1,1432.3,27.04,113.56,-38.125,162.19,0.073486,0.78235,0.51215,-0.34656,27.188,-37,-113,-6.35,-0.87,-6.89,0.0066667,0.085556,0.048889,0,0,0,0
0.28,1429.9,26.75,1431.1,27.1,1432.7,27.04,113.56,-38.125,162.19,0.073547,0.78229,0.51215,-0.34686,27.188,-37,-113,-6.02,-1.27,-7.3,0.0088889,0.02,0.011111,0,0,0,0
0.29,1428.9,26.75,1433.3,27.1,1431.7,27.04,113.56,-38.125,162.19,0.073547,0.78241,0.51215,-0.34668,27.188,-37,-113,-6.21,-3.64,-7.79,-0.031111,-0.0030556,-0.0077778,0,0,0,0
0.3,1430.2,26.75,1431.9,27.1,1431.1,27.04,113.56,-38.063,162.19,0.073303,0.78247,0.51227,-0.34631,27.188,-37,-113,-6.13,-0.16,-7.72,-0.0022222,-0.024444,-0.024444,0,0,0,0
0.31,1432,26.75,1432.4,27.1,1432.3,27.04,113.56,-38.063,162.19,0.07312,0.78253,0.51233,-0.34613,27.188,-37.375,-113,-6.58,-2.94,-7.95,-0.0077778,-0.014167,-0.015556,0,0,0,0
0.32,1432.1,26.75,1434.1,27.1,1435.6,27.04,113.5,-38,162.19,0.072754,0.78253,0.51233,-0.34613,27.188,-37.375,-113,-6.29,-3.98,-7.4,0.031111,-0.062222,-0.046667,0,0,0,0
0.33,1431,26.75,1431.6,27.1,1432.7,27.04,113.5,-38,162.19,0.072754,0.78253,0.51257,-0.34595,27.188,-37.375,-113,-6.1,-1.91,-7.34,0.0044444,-0.0078125,-0.015556,0,0,0,0
0.34,1433,26.75,1434.4,27.1,1434.3,27.04,113.5,-38,162.13,0.072754,0.78241,0.51251,-0.34595,27.188,-37.375,-113,-6.1,-3.9,-7.3,0.028889,-0.015,-0.013333,0,0,0,0
0.35,1434.1,26.75,1434,27.1,1433.9,27.04,113.5,-38.063,162.13,0.072876,0.78223,0.51245,-0.34662,27.188,-37.375,-113,-6.06,-2.24,-7.53,0.02,0.0050694,0.0022222,0,0,0,0
0.36,1434,26.75,1434.2,27.1,1435.4,27.04,113.5,-38.125,162.13,0.073059,0.78217,0.51239,-0.34686,26.75,-36.25,-113.75,-6.07,-1.85,-7.6,0.0055556,0.018056,0.011111,0,0,0,0
0.37,1436.8,26.75,1436.9,27.1,1437.3,27.04,113.5,-38.125,162.06,0.073059,0.78217,0.51239,-0.34686,26.75,-36.25,-113.75,-6.46,-2.89,-7.68,0.031111,-0.0075,-0.0077778,0,0,0,0
0.38,1435.2,26.75,1440,27.1,1437.1,27.04,113.5,-38.125,162.06,0.073059,0.7821,0.51233,-0.34711,26.75,-36.25,-113.75,-6.3,-1.96,-7.2,0,0.00083333,0.0011111,0,0,0,0
0.39,1438.3,26.75,1439.7,27.1,1432.9,27.04,113.5,-38.125,162.06,0.072876,0.7821,0.51239,-0.34711,26.75,-36.25,-113.75,-6.1,-1.39,-6.98,0.011111,-0.026667,-0.015556,0,0,0,0
0.4,1438.3,26.75,1439.3,27.1,1439.8,27.04,113.5,-38.063,162.13,0.072693,0.78223,0.51251,-0.34662,26.75,-36.25,-113.75,-6.52,-2.75,-7.36,-0.015556,-0.022778,-0.018889,0,0,0,0
0.41,1436.4,26.75,1434.5,27.1,1441.4,27.04,113.5,-38,162.06,0.072571,0.78229,0.51263,-0.34644,26.75,-37.375,-114.06,-5.98,-1.86,-7.42,0.0033333,-0.0125,-0.02,0,0,0,0
0.42,1435.5,26.75,1432.5,27.1,1440.1,27.04,113.5,-38.063,162.13,0.072632,0.78223,0.51263,-0.34644,26.75,-37.375,-114.06,-6.01,-0.53,-7.52,-0.011111,0.0069444,0.0044444,0,0,0,0
0.43,1438.9,26.75,1437.2,27.1,1439.8,27.04,113.5,-38.063,162.06,0.072632,0.7821,0.51263,-0.34656,26.75,-37.375,-114.06,-6,-5.45,-7.26,0.025556,-0.01,-0.018889,0,0,0,0
0.44,1437,26.75,1434.6,27.1,1439,27.04,113.5,-38.063,162.06,0.072693,0.78204,0.51263,-0.34674,26.75,-37.375,-114.06,-6.1,-3.87,-6.98,0.013333,2.4555e-39,0,0,0,0,0
0.45,1439.1,26.75,1436.6,27.1,1439.3,27.04,113.5,-38.125,162.06,0.072693,0.78198,0.51257,-0.34711,26.75,-37.375,-114.06,-5.93,-2,-6.46,0.016667,0.0097222,0.0088889,0,0,0,0
0.46,1437.2,26.75,1437.8,27.1,1439.4,27.04,113.5,-38.125,162.06,0.072754,0.78192,0.51257,-0.34723,27.188,-37,-113,-6.14,-2.81,-7.01,-0.0077778,-0.031111,-0.012222,0,0,0,0
0.47,1440.9,26.75,1438.7,27.1,1438.1,27.04,113.5,-38.125,162.06,0.072754,0.78192,0.51257,-0.34723,27.188,-37,-113,-5.77,-2.23,-7.4,-0.0066667,0.0027778,0.0044444,0,0,0,0
0.48,1439.9,26.75,1440.3,27.1,1443.5,27.04,113.5,-38.063,162.06,0.072693,0.78192,0.51257,-0.34717,27.188,-37,-113,-5.77,-1.75,-7.5,-0.0066667,1.839e-38,0,0,0,0,0
0.49,1441.5,26.75,1444,27.1,1444.9,27.04,113.5,-38.063,162.06,0.072693,0.78198,0.51257,-0.34711,27.188,-37,-113,-6.02,-2.75,-7.22,-0.014444,0.0036111,0.0022222,0,0,0,0
0.5,1438.7,26.75,1440.9,27.1,1442.8,27.04,113.5,-38.063,162.06,0.072632,0.78204,0.51263,-0.34692,27.188,-37,-113,-5.79,-2.53,-6.82,0.0055556,-0.0052778,-0.0077778,0,0,0,0
0.51,1441.1,26.75,1440.7,27.1,1441.5,27.04,113.5,-38.063,162.06,0.072693,0.78204,0.51263,-0.34692,27.563,-37,-112.06,-5.86,-1.66,-7.03,-0.01,0.014444,0.015556,0,0,0,0
0.52,1444.4,26.75,1446,27.1,1445.3,27.04,113.5,-38.125,162.06,0.072693,0.78204,0.51257,-0.34698,27.563,-37,-112.06,-5.7,-3.24,-7.24,0.017778,0.0077778,0.0022222,0,0,0,0
0.53,1439.4,26.75,1439.3,27.1,1443,27.04,113.5,-38.125,162.06,0.072693,0.78198,0.51251,-0.34717,27.563,-37,-112.06,-5.63,-0.9,-7.73,-0.0077778,0.027778,0.021111,0,0,0,0
0.54,1445.2,26.75,1447.5,27.1,1446,27.04,113.5,-38.125,162.06,0.072815,0.78198,0.51245,-0.34723,27.563,-37,-112.06,-5.58,-2.42,-7.23,0.0011111,0.0044444,0.0044444,0,0,0,0
0.55,1446.1,26.75,1445.9,27.1,1445.2,27.04,113.5,-38.063,162.06,0.072693,0.7821,0.51245,-0.34705,27.563,-37,-112.06,-5.74,-3.34,-7.28,-0.0022222,-0.0028472,-0.0077778,0,0,0,0
0.56,1443.7,26.75,1444.9,27.1,1450.1,27.04,113.5,-38.063,162.06,0.072632,0.7821,0.51245,-0.34698,27.563,-37.375,-113.38,-5.73,-2.43,-7.16,-0.0088889,0.0063889,0.0022222,0,0,0,0
0.57,1442,26.75,1442.4,27.1,1444.2,27.04,113.5,-38.063,162.06,0.072632,0.7821,0.51245,-0.34698,27.563,-37.375,-113.38,-5.81,-2.35,-7.36,0.0055556,-0.0083333,-0.015556,0,0,0,0
0.58,1445.9,26.75,1446.9,27.1,1444.6,27.04,113.5,-38.063,162.06,0.07251,0.78217,0.51251,-0.34686,27.563,-37.375,-113.38,-5.8,-2.08,-7.79,-0.02,0.0063889,0.0022222,0,0,0,0
0.59,1446.7,26.75,1449.6,27.1,1450.6,27.04,113.5,-38.063,162.06,0.072571,0.78217,0.51257,-0.34668,27.563,-37.375,-113.38,-5.61,-1.48,-7.7,0.012222,0.0077778,0.0077778,0,0,0,0
0.6,1442,26.75,1437.8,27.1,1446.9,27.04,113.5,-38.063,162.06,0.072571,0.78223,0.51251,-0.34668,27.563,-37.375,-113.38,-5.61,-1.99,-7.63,-0.012222,0.0088889,0.017778,0,0,0,0
0.61,1447.2,26.75,1445.3,27.1,1444.7,27.04,113.5,-38.063,162.06,0.072449,0.78229,0.51251,-0.34662,27.188,-37.375,-113.69,-5.79,-3.83,-7.16,0.013333,1.2016e-39,0,0,0,0,0
0.62,1452.9,26.75,1456.1,27.1,1453.9,27.04,113.5,-38.063,162.06,0.072449,0.78229,0.51251,-0.34662,27.188,-37.375,-113.69,-5.75,-0.6,-7.61,-0.0055556,0.10667,0.037778,0,0,0,0
0.63,1449.1,26.75,1448.8,27.1,1451.3,27.04,113.56,-38.063,162.06,0.07251,0.78235,0.51239,-0.34662,27.188,-37.375,-113.69,-5.58,-0.16,-7.58,0.0055556,0.024444,0.027778,0,0,0,0
0.64,1449.1,26.75,1445.6,27.1,1449.2,27.04,113.56,-38.063,162.13,0.072632,0.78241,0.51227,-0.34668,27.188,-37.375,-113.69,-5.98,-3.4,-7.84,-0.017778,0.026667,0.021111,0,0,0,0
0.65,1449.7,26.75,1451.1,27.1,1450.9,27.04,113.56,-38.063,162.13,0.072693,0.78259,0.51202,-0.3465,27.188,-37.375,-113.69,-6.01,-2.59,-7.52,-0.0055556,0.033333,0.042222,0,0,0,0
0.66,1449.4,26.75,1451.5,27.1,1450.6,27.04,113.63,-38.063,162.19,0.072815,0.78271,0.51184,-0.34656,27.563,-37,-113.38,-5.9,-0.11,-7.38,0.01,0.08,0.057778,0,0,0,0
0.67,1446.6,26.75,1451,27.1,1450.3,27.04,113.63,-38.063,162.19,0.072998,0.78271,0.51184,-0.34656,27.563,-37,-113.38,-7.02,-3.16,-7.19,-0.02,0.071111,0.048889,0,0,0,0
0.68,1452,26.75,1453.1,27.1,1449.5,27.04,113.63,-38.063,162.19,0.072998,0.78284,0.51166,-0.3465,27.563,-37,-113.38,-7.84,-3.86,-8.25,0.0055556,0.056667,0.034444,0,0,0,0
0.69,1451.9,26.71,1453,27.07,1453,27.04,113.69,-38,162.19,0.07251,0.78302,0.5116,-0.34625,27.563,-37,-113.38,-7.28,-4.46,-7.55,0.056667,-0.0010417,-0.0011111,0,0,0,0
0.7,1452.5,26.71,1452.9,27.07,1452.9,27.03,113.69,-38,162.13,0.072205,0.78308,0.51147,-0.34644,27.563,-37,-113.38,-7.05,-3.26,-7.18,0.082222,-0.018889,-0.03,0,0,0,0
0.71,1448.9,26.71,1454.3,27.07,1454.8,27.03,113.63,-38.063,162.06,0.071899,0.78284,0.51154,-0.34692,27.563,-37.375,-113.75,-5.96,-2.44,-7.28,0.097778,-0.056667,-0.073333,0,0,0,0
0.72,1453.3,26.71,1453.7,27.07,1450.1,27.03,113.63,-38.063,161.94,0.071594,0.78284,0.51154,-0.34692,27.563,-37.375,-113.75,-6.38,-3.38,-7.6,0.073333,-0.062222,-0.086667,0,0,0,0
0.73,1456.2,26.71,1455.7,27.07,1456.9,27.03,113.56,-38.063,161.88,0.071594,0.78253,0.51172,-0.34735,27.563,-37.375,-113.75,-5.19,-2.59,-7.15,0.061111,-0.058889,-0.092222,0,0,0,0
0.74,1454.9,26.71,1453.3,27.07,1455.1,27.03,113.56,-38.125,161.88,0.07135,0.78223,0.51196,-0.34772,27.563,-37.375,-113.75,-6.8,-6.05,-5.87,0.036667,-0.071111,-0.041111,0,0,0,0
0.75,1452.6,26.71,1454.4,27.07,1456.4,27.03,113.56,-38.125,161.88,0.071533,0.78204,0.51196,-0.34808,27.563,-37.375,-113.75,-7.81,-1.22,-6.67,-0.032222,0.02,0.026667,0,0,0,0
0.762,1456.7,26.71,1455.9,27.07,1457.1,27.03,113.56,-38.063,161.94,0.071594,0.78223,0.51221,-0.34741,27.188,-37,-115.25,-7.37,-0.99,-7.34,-0.091111,0.0020139,0.0022222,0,0,0,0
0.771,1456.5,26.71,1454.4,27.07,1455.9,27.03,113.5,-37.875,161.94,0.070862,0.78241,0.51221,-0.34741,27.188,-37,-115.25,-7.14,-6.72,-8.48,-0.033333,-0.0675,-0.097778,0,0,0,0
0.781,1457.3,26.71,1457.9,27.07,1459.7,27.03,113.5,-37.75,161.94,0.070313,0.78259,0.5127,-0.34637,27.188,-37,-115.25,-5.16,-2.18,-6.79,0.0022222,-0.051389,-0.056667,0,0,0,0
0.791,1459.2,26.71,1459.4,27.07,1459.4,27.03,113.44,-37.813,161.88,0.070251,0.78235,0.513,-0.34558,27.188,-37,-115.25,-5.95,-0.55,-5.77,0.032222,-0.067778,-0.055556,0,0,0,0
0.801,1458.4,26.71,1457.6,27.07,1456.8,27.03,113.38,-37.875,161.81,0.070496,0.78186,0.51331,-0.3468,27.188,-37,-115.25,-6.15,-1.46,-5.91,0.025556,-0.049167,-0.08,0,0,0,0
0.811,1460.7,26.71,1463.1,27.07,1461.6,27.03,113.31,-38,161.75,0.071106,0.78119,0.51355,-0.34772,28.688,-37.375,-113,-5.42,-0.06,-6.61,-0.028889,-0.065556,-0.081111,0,0,0,0
0.821,1456.4,26.71,1453.8,27.07,1465.3,27.03,113.25,-38.063,161.75,0.071472,0.78082,0.51355,-0.34772,28.688,-37.375,-113,-5.19,-1.23,-7.46,-0.036667,-0.033889,-0.075556,0,0,0,0
0.831,1462.3,26.71,1459.3,27.07,1462.1,27.03,113.25,-38.063,161.69,0.071228,0.78058,0.51385,-0.34814,28.688,-37.375,-113,-5.97,-5.48,-7.83,0.026667,-0.071111,-0.082222,0,0,0,0
0.841,1461.7,26.71,1457.4,27.07,1459,27.03,113.19,-38,161.63,0.070496,0.78064,0.5141,-0.34821,28.688,-37.375,-113,-5.97,-2.87,-6.77,0.08,-0.10778,-0.076667,0,0,0,0
0.851,1457.4,26.71,1456.4,27.07,1462.8,27.03,113.19,-37.875,161.56,0.06958,0.7807,0.51453,-0.34784,28.688,-37.375,-113,-6.53,-2.47,-5.91,0.11222,-0.035833,-0.087778,0,0,0,0
0.861,1460.3,26.71,1463.9,27.07,1464.7,27.03,113.19,-37.75,161.44,0.06842,0.7807,0.51489,-0.34747,27.875,-37.75,-114.06,-6.42,-4.6,-6.22,0.12667,-0.19111,-0.14444,0,0,0,0
0.871,1465,26.71,1469.6,27.07,1462.2,27.03,113.13,-37.688,161.38,0.06781,0.7807,0.51489,-0.34747,27.875,-37.75,-114.06,-5.01,-0.33,-6.98,0.057778,-0.088889,-0.092222,0,0,0,0
0.881,1458.5,26.71,1457.9,27.07,1468.8,27.03,113.13,-37.75,161.25,0.067566,0.78064,0.5152,-0.34729,27.875,-37.75,-114.06,-4.87,-0.18,-7.29,0.11778,-0.11111,-0.08,0,0,0,0
0.891,1460.7,26.71,1458.7,27.07,1465.8,27.03,113.06,-37.875,161.13,0.067505,0.78027,0.51526,-0.34802,27.875,-37.75,-114.06,-6.61,-4.38,-7.69,0.10667,-0.053056,-0.091111,0,0,0,0
0.901,1465.4,26.71,1455.2,27.07,1464,27.03,113,-37.875,161.06,0.067383,0.77936,0.51544,-0.34985,27.875,-37.75,-114.06,-6.92,-2.51,-7.23,0.092222,-0.033333,-0.082222,0,0,0,0
0.911,1464.2,26.71,1461.3,27.07,1463.7,27.03,112.94,-37.938,160.94,0.067017,0.77899,0.51563,-0.3504,29.063,-37.75,-113,-6.2,-2.01,-6.52,0.096667,-0.07,-0.10333,0,0,0,0
0.921,1462.1,26.71,1461.2,27.07,1462.9,27.03,112.94,-37.938,160.88,0.066772,0.77869,0.51563,-0.3504,29.063,-37.75,-113,-5.96,-3.69,-7.53,0.062222,-0.066667,-0.093333,0,0,0,0
0.931,1464.2,26.71,1465.9,27.07,1467.5,27.03,112.88,-38,160.75,0.066589,0.77869,0.51587,-0.35083,29.063,-37.75,-113,-5.94,-1.72,-7.37,0.076667,-0.097778,-0.086667,0,0,0,0
0.941,1465.6,26.71,1465.4,27.07,1464.4,27.03,112.81,-38,160.69,0.066406,0.77832,0.51605,-0.35144,29.063,-37.75,-113,-6.24,-2.06,-7.79,0.063333,-0.074444,-0.081111,0,0,0,0
0.951,1467.4,26.71,1468.4,27.07,1463.4,27.03,112.81,-38,160.63,0.065979,0.77777,0.51642,-0.35217,29.063,-37.75,-113,-5.94,-4.34,-7.19,0.076667,-0.062222,-0.095556,0,0,0,0
0.961,1466.5,26.71,1468,27.07,1467.6,27.03,112.75,-37.938,160.56,0.065735,0.77771,0.5166,-0.35211,27.875,-39.188,-111,-5.72,1.16,-7.63,0.023333,-0.11556,-0.056667,0,0,0,0
0.971,1467.7,26.71,1468.4,27.07,1467.2,27.03,112.75,-37.875,160.56,0.065186,0.77771,0.5166,-0.35211,27.875,-39.188,-111,-6.25,-4.78,-7.31,0.048889,-0.091111,-0.073333,0,0,0,0
0.981,1465.9,26.71,1466.8,27.07,1470,27.03,112.75,-37.813,160.5,0.064392,0.77765,0.51685,-0.35193,27.875,-39.188,-111,-6.84,-4.65,-7.61,0.064444,-0.043333,-0.093333,0,0,0,0
0.991,1468.6,26.71,1468.5,27.07,1470.2,27.03,112.69,-37.688,160.44,0.06366,0.77777,0.51709,-0.3515,27.875,-39.188,-111,-6.96,-2.07,-7.76,0.05,-0.038611,-0.085556,0,0,0,0
1.001,1469.5,26.71,1470.3,27.07,1468.7,27.03,112.69,-37.563,160.38,0.062622,0.77783,0.51782,-0.35065,27.875,-39.188,-111,-6.35,-3.18,-7.81,0.093333,-0.17778,-0.13556,0,0,0,0
1.011,1471.3,26.71,1471.1,27.07,1467.1,27.03,112.63,-37.5,160.31,0.06189,0.77777,0.51813,-0.3504,27.875,-40.688,-110.56,-5.96,-2.13,-7.97,0.066667,-0.031389,-0.10667,0,0,0,0
1.021,1468.5,26.71,1468.8,27.07,1474.8,27.03,112.63,-37.438,160.25,0.061279,0.77765,0.51813,-0.3504,27.875,-40.688,-110.56,-5.75,-2.01,-7.35,0.086667,-0.054444,-0.095556,0,0,0,0
1.031,1473,26.71,1471.7,27.07,1469.8,27.03,112.56,-37.438,160.19,0.061279,0.77765,0.51837,-0.35046,27.875,-40.688,-110.56,-6.43,-3.21,-7.4,0.07,-0.048889,-0.074444,0,0,0,0
1.041,1469.3,26.71,1471.7,27.07,1473.9,27.03,112.56,-37.438,160.06,0.060852,0.77753,0.51849,-0.35059,27.875,-40.688,-110.56,-6.28,-2.19,-7.14,0.083333,-0.035556,-0.076667,0,0,0,0
1.051,1472.3,26.71,1473.4,27.07,1473.6,27.03,112.5,-37.438,160,0.06012,0.77722,0.5188,-0.35101,27.875,-40.688,-110.56,-6.06,-0.87,-7.28,0.063333,-0.071111,-0.06,0,0,0,0
1.061,1467.9,26.71,1468.6,27.07,1470.6,27.03,112.5,-37.375,159.94,0.059631,0.77704,0.51886,-0.35126,29.063,-39.563,-109.75,-6.24,-2.96,-7.72,0.091111,-0.035556,-0.072222,0,0,0,0
1.071,1473.8,26.71,1482.2,27.07,1470.7,27.03,112.5,-37.375,159.88,0.059631,0.77704,0.51886,-0.35126,29.063,-39.563,-109.75,-6.17,-1.36,-7.48,0.097778,-0.045556,-0.075556,0,0,0,0
1.081,1463.2,26.71,1476.5,27.07,1475,27.03,112.44,-37.313,159.81,0.059021,0.77698,0.51904,-0.35132,29.063,-39.563,-109.75,-4.24,1.82,-8.57,0.09,-0.093333,-0.067778,0,0,0,0
1.091,1469.9,26.71,1469.5,27.07,1460.8,27.03,112.44,-37.375,159.69,0.058533,0.77686,0.5191,-0.3515,29.063,-39.563,-109.75,-7.17,-6.08,-5.59,0.16889,-0.096667,-0.051111,0,0,0,0
1.101,1482,26.71,1490.1,27.07,1482,27.03,112.44,-37.438,159.63,0.058044,0.77643,0.51886,-0.35297,29.063,-39.563,-109.75,-5.59,-6.37,-6.34,0.078889,2.2987e-38,0,0,0,0,0
1.111,1470.7,26.71,1470.3,27.07,1474.7,27.03,112.5,-37.563,159.56,0.05835,0.77618,0.51837,-0.35406,29.063,-41.5,-108.19,-5.27,-1,-7.69,0.10556,0.060278,0.056667,0,0,0,0
1.121,1474.1,26.71,1482.5,27.07,1478.5,27.03,112.5,-37.75,159.38,0.05835,0.77618,0.51837,-0.35406,29.063,-41.5,-108.19,-6.03,-2.4,-6.84,0.19222,-0.018542,-0.027778,0,0,0,0
1.131,1483.5,26.71,1479.3,27.07,1471.7,27.03,112.5,-37.938,159.25,0.05835,0.7757,0.51807,-0.35565,29.063,-41.5,-108.19,-6.06,1.18,-6.8,0.11667,-0.02375,-0.011111,0,0,0,0
1.141,1466.9,26.71,1463.7,27.07,1471.1,27.03,112.44,-38,159.06,0.058838,0.77502,0.51782,-0.35736,29.063,-41.5,-108.19,-8.36,-10.17,-7.14,0.18111,-0.045278,-0.12,0,0,0,0
1.151,1478,26.71,1475.1,27.07,1477.2,27.03,112.44,-37.938,159.06,0.058167,0.77448,0.51801,-0.3584,29.063,-41.5,-108.19,-6.6,-5.43,-5.95,0.017778,-0.037778,-0.041111,0,0,0,0
1.161,1481.9,26.71,1482.4,27.07,1476.4,27.03,112.44,-37.875,159.06,0.057495,0.77466,0.51819,-0.35791,27.188,-41.5,-106.69,-6.19,3.5,-8.11,0.041111,-0.043611,-0.042222,0,0,0,0
1.171,1475.7,26.71,1478.4,27.07,1481.4,27.03,112.44,-37.938,158.94,0.057495,0.77466,0.51819,-0.35791,27.188,-41.5,-106.69,-6.36,-0.41,-7.88,0.16556,-0.0086806,-0.012222,0,0,0,0
